class,text
positive,"eight years after its release , disney has decided to re-release the little mermaid theatrically for 17 days ( and 17 long nights ) only . coincidentally , it was reintroduced to theaters the same day fox's animated film anastasia was released . you know disney , they can't deal with the threat of any other studio getting even a small piece of the crust of the kiddie entertainment pie , so when someone else wants to make a little money , they counter with an old "" masterpiece "" from their vault and , you know what , i went to see this 1989 cartoon rather than the brand new one from fox . let no one say disney is losing its monopoly on the market . they still have hotels on boardwalk _and_ park place . believe it or not , today , november 25 , 1997 , at 5 : 05 p . m . , i saw the little mermaid for the first time . it took me a few years to get over an aversion to this movie that was caused seven years ago , when i stayed with one of my mom's friends for a couple weeks . they had a young child who listened to the little mermaid soundtrack constantly and , over that two week period , i heard every song from the movie probably a hundred times . by the time i got back home , i promised myself i'd never see the movie . but promises are made to be broken , especially when you're looking at a 17-day , limited engagement . damn those shrewd disney marketers and their mind games . the little mermaid is based on a hans christian anderson fairy tale , but it's disney-ized , which means lots of talking animals and bursting into song . it also means the heroine is a total babe who shows off cleavage from a seashell bra at all times . i never wanted so much to be a pair of shells . . . the heroine , of course , is ariel ( voice of jodi benson ) , a 16-year-old mermaid who is going through that rebellious phase . she skips her concert to explore a wrecked ship and hang out with a seagull that talks like buddy hackett , who tries to orient her to the mysterious world of humans . she's also dealing with feelings she hasn't had before -- which comes when you get scales in places you didn't use to have them -- about a handsome prince ( no disney movie would be complete without one ) . her father , king triton of the merpeople , strictly forbids such lusting after the ways of the "" savage "" humans , in a condemnation that reads as a not-so-subtle analogy about old- fashioned parents who forbid interracial dating . what's a king to do , though ? the girl's in love and even total destruction of her little shrine to the human world doesn't deter her . ariel saves the prince's life when a hurricane rises up , and just has to meet him . she makes a deal with ursula , the sea witch ( voice of pat carroll ) . you know she's evil because she has a huge potbelly and one of the worst asses in cartoon history . she also has octopus tentacles for feet ( something those dr . scholl's corn pads will not fix ) and offers to help ariel out . she'll make her a human for three days if ariel will give up her pretty voice ; ariel has three days to make that prince kiss her , or else she becomes a slave to the witch forever . and if she pricks her finger on a sewing machine or eats an evil apple , she'll fall asleep forever . it's a simplistic plot , yes , but the little mermaid was a revolution in the disney world , coming after such lackluster efforts as the black cauldron and oliver and company . it ranks as one of the best disney cartoons , certainly since the '50s . all the elements are there -- memorable songs like "" under the sea "" and "" kiss the girl , "" cartoon animals like sebastian and flounder , an evil villain who still has characterization and charm , and a fair amount of humor that caters to adults as well as children . the little mermaid is worth a big-screen ticket in 1997 , so hurry up , you only have five days left . serving america for more than 1/25th of a century ! "
positive,"bob the happy bastard's quickie review : rush hour so what's the problem with 48 hours clones these days ? they always try for the same thing that eddie murphy and nick nolte had . that was the problem that plagued these clones , not to mention the actual sequel : another 48 hours , a complete waste of film . but , at last , someone has a different take on the matter , and it's director brett rainer . rush hour features jackie chan in his first u . s . action movie , playing a chinese detective who's being flown to the us to investigate the kidnapping of the chinese consulate's daughter . of course , the fbi is upset that he'll be interfering in their investigation , and stick him with an lapd office with a big mouth- of course , that's chris tucker . what makes rush hour work so damn well is the chemistry between the energetic chan and the absolutely hilarious tucker . tucker mouths off to chan at every given opportunity ( "" i'm michael jackson , you tito . "" ) , and chan delivers a few zingers of his own , as well as some terrific fight scenes . the story's pretty much your average fare , but with a decent twist involving the main villain , a highly clouded figure named jun tao . at least it's entertaining , and the concept is excellently realized . a particular fight scene in a chinese office , where chan and tucker duke it out with the bad guys , is funny and energetic at the same time . and the finale's a real treat as well . . . chan delivers yet another fantastic stunt for the fans with a 10-story drop . rush hour is just the sort of film you'll get a kick out of on any night of the week . just make sure you don't look for anything culturally different and you'll be fine- drunken master ii this ain't . "
negative,"wesley snipes is a master of selecting bad action roles . murder at 1600 , u . s . marshals , money train , drop zone , boiling point , and the ultimate camp film - passenger 57 . the art of war is another entry in this very ugly and unique category . ultimately , it is little more than a ridiculous action film with a plot as believable as the warren report , ugly violence that would have made peckinpah cringe , and terrible acting by b-list actors like michael biehn and anne archer . oddly , it feels like the undiscovered sequel to another snipes "" masterpiece , "" rising sun . the movie revolves around the convenient story of a special un operative caught up in a secret murder conspiracy involving a chinese ambassador , the chinese triad brotherhood , a rich chinese businessman ( played by ? that bad guy from rising sun , cary-hiroyuki tagawa ) a chinese un interpreter , and , inexplicably , donald sutherland . the film ends with more confusion than a boatload of chinese immigrants trying to register at ellis island . or should i say the film ends with the most blatant ripoff of both the matrix and all of john woo's hong kong films combined . i am really at a loss to figure out why wesley snipes had the gumption to not only star in this action dud but also act as one of the producers of the film . i usually enjoy snipes' movies - though his dramatic roles better show off his creativity as an actor than the flashiness of his action films . simply , i am amazed by the how inane the script was , filled with terrible cliches and extremely violent action sequences . director christian duguay ( screamers ) has a strange attraction to the viciousness of violent acts -- showing splattering brains , people impaled with broken shards of glass , and lots of gargling and gagging as blood sprays everywhere . it also sickens me to know that oliver stone , one of the greatest directors working today , had his hand in producing this monstrosity . i guess snipes sold stone on the conspiracy angle and stone chose not to read the script , watch the dailies , be involved in casting , or anything else -- or else he'd be filing a court order to remove his name from the credits . it's also seems evident that with the russkies as our new bosom buddies and the middle eastern terrorist angle being beaten to death in the last couple of years that the new international enemies in hollywood are the communist chinese . i'm sure over the next couple of months , even more "" chinese conspiracy/martial-arts action flicks "" are going to be popping up in your local multiplex . hopefully they won't include wesley snipes . "
negative,"there's a scene somewhere in this film where one of the characters reads the book "" screenwriting made easy . "" this is funny the first time just 'cause it is , but funnier as the film goes on since it's totally ironic since the screenwriters of this inane film probably read it , outlined it and then wrote this film . it's like they took the sub-genre of the disaster pic , which can be fun and hokey at the same time , and then forgot one of the greatest parts of them : the stupid , eccentric characters . yes , "" the poseidon adventure "" is crap , but it's fun 'cause of all the stupid , eccentric characters . and "" earthquake , "" my god !  "" earthquake "" has got to be one of the worst movies of all time , but at least they had the joke of having charlton heston sleeping with genevieve bujold .  "" volcano "" takes a semi-intriguing yet stupendously inane plot ( a volcano no one knew about suddenly errupts one fine morning and then erupts again later then stops . . . only it's in , dare i say it ? l . a ! ! ! ) and then puts no stupid , stereotypical , eccentric characters in it . they're just stupid . and the actors are all good ones . tommy lee jones is great , an oscar winner , and a member of the men in black ( my vote for what should be the coolest movie of the summer ) . anne heche is a good indy actress . don cheadle stole the disappointing "" devil in a blue dress "" from denzel's feet . and gaby's one of the few good teenage actors . but they get nothing to do but act dumb and scream at what's going on . they do their best , god bless them , but they're all lost in the fake magma ( only don cheadle gets an interesting part and he's the greatest part of the film ) . there's no real suspense here 'cause you don't care about anyone . i actually was rooting for gaby's character to get killed so tommy lee jones wouldn't have to keep saving her ( he did it like thirty times ! ) . and there are no interesting sites in l . a . that we see get destroyed . part of the fun of disaster films is watching sites get toppled or destroyed or whatever . in "" independence day , "" the best part ( other than judd hirsch ) was watching the white house and empire state building get blown up by the aliens . that was cool . watching really fake-looking magma plow down the street is not . okay , so the film's not devoid of merit . as i already stated , don cheadle was great and the cast does their best . and there's this really moronic scene which looks cool . john carrol lynch ( norm from "" fargo "" ) goes on a subway car to save people but the lava comes and surrounds it . he has one guy who's wounded and could make it . he could throw the guy and jump and still survive . but no ! ! ! he has to go and inanely jump and land right in the middle of the lava . here's the cool sight : he melts . here's the dumb part of it : he somehow manages to throw the man to safety as his legs are melting . cool sight . no logic . but cool sight . the volcano erupts twice and for some reason , the film ends there . they aren't worried about it eruting again , they just go home to their toppled homes . but to tell the truth , i was glad they didn't go on . i was hoping the film was over after the first eruption ended . my god , it was actually painful to sit through this little 102 minute long film . i haven't seen "" dante's peak "" but i've heard it's a masterpiece compared to this . if you want to see a cool disaster flick that's inane but interesting , rent "" the towering inferno "" with steve mcqueen , paul newman , and the schweppervescent o . j . simpson ( he saves a cat ) . if you want to waste your time watching a boring , stupid disaster flick ( literally , it almost grossed half of its budget ) , see this . but i warned you . "
negative,"in this re-make of the 1954 japanese monster film , godzilla is transformed into a "" jurassic park "" copy who swims from the south pacific to new york for no real reason and trashes the town . although some of the destruction is entertaining for a while , it gets old fast . the film often makes no sense ( a several-hundred foot tall beast hides in subway tunnels ) , sports second-rate effects ( the baby godzillas seem to be one computer effect multiplied on the screen ) , lame jokes ( mayor ebert and his assistant gene are never funny ) , horrendous acting ( even matthew broderick is dull ) and an unbelievable love story ( why would anyone want to get back together with maria pitillo's character ? ) . there are other elements of the film that fall flat , but going on would just be a waste of good words . only for die-hard creature feature fans , this might be fun if you could check your brain at the door . i couldn't .  ( michael redman has written this column for 23 years and has seldom had a more disorienting cinematic experience than seeing both "" fear and loathing "" and "" godzilla "" in the same evening . ) "
negative,"200 cigarettes takes place on new year's eve 1981 . monica , played by martha plimpton is having a huge new year's party . everyone in town is trying to get there , but some are caught up in other things . this is the basic plot of 200 cigarettes . as we meet the characters headed towards the party , we are sent into many subplots which are unoriginal , and not interesting at all . this disappointed me greatly . the film should have been more about the party than the people trying to get there in my opinion . lucy , played by courtney love , is with kevin , played by paul rudd . the two are in a relationship that is more of a friendship , but starts to blossom into something more than that . this subplot is extremely boring and dull , and i am getting quite sick of plots like that . janeane garofalo is involved in another subplot , dealing with kevin . she plays ellie , an ex-girlfriend of kevin's . this subplot is completely a waste of garofalo's talent . there was no point to it at all , and it was hardly even in the movie . when lucy runs into a bartender , played by ben affleck , another subplot is formed . the bartender is invited by lucy to come to monica's party . at the bar , he runs into two more girls . the girls are played by angela featherstone and nicole parker , but unfortunately , due to the terrible acting of both of them , i don't even remember their characters names . ben affleck is a good actor , but his character doesn't go anywhere so he doesn't have much screen time to give a good performance . featherstone and parker are horrible in their roles , and they are part of the reason the film is so bad . christina ricci plays val , and gaby hoffman plays stephie . the two girls are trying to get to the party but are extremely lost . they meet some guys and end up going around with them all night . this subplot was alright , but it was quite annoying with stephie's accent . hoffman did an okay job of acting , but ricci did good . she was underused , considering she is such a wonderful actress . another subplot in the film is the relationship between cindy , played by goldie hawn's daughter , and jack , played by jay mohr . jack is an actor who doesn't care about the girls he goes out with , he just likes dates for one night , and the next day he doesn't . kate hudson is a huge klutz . she gets herself into very funny situations , that are the funniest parts in the entire movie . they are probably the only funny parts in the entire movie as well . this subplot could have been used more , mainly due to hudson's performance . mohr wasn't good , but he wasn't bad . he was just alright , which i didn't find acceptable . there is not much to say about the performances in the film . none of the characters are developed or shown enough to really tell if the acting is good or not . the only performances that i can judge are christina ricci's as always good performance , kate hudson's funny role , courtney love's mediocre performance , and paul rudd's annoying and overused performance . i was hoping for a little more out of jaw mohr , ben affleck , casey affleck , gaby hoffman , dave chapelle , and especially out of janeane garofalo . the two strongest things in the film were the great soundtrack and the original costumes . martha plimpton and christina ricci had very different and original outfits which made me feel like i was in the year 1981 . the soundtrack is full of 1980's tunes , ranging from "" i want candy "" to "" tainted love . "" the songs in the movie also helped create the feel that you were back in the 1980s . during the film , i often found myself asking the questions , "" is there a reason to this ? is there any moral story ? is there a point ? are any of the events going on in the film necessary ? do i care what lucy and kevin are going through ? "" the movie is extremely boring , and by the time they reached eleven-o-clock , one hour before midnight , i could not wait for the movie to be over . the plot is okay , but the subplots make it terrible . maybe if the film was about the party , not about the people at the party , it could have been a lot better . the bottom line : just like a slasher movie , this ? 80s comedy is just one too many . "
positive,"call 911 for the cliche police if you must , but the eyes are the window to the soul . the finest actors working in films are those who can command the screen with a gaze : paul newman , ralph fiennes , anthony hopkins , morgan freeman . you look at these men on screen and you can tell without them saying a word that there is something going on in their minds , that the characters they play are real human beings . we will never have a chance to discover if tupac shakur could have been a great actor , but he had that unique quality in his eyes . in gridlock'd , an oddly effective combination of gritty drama and social satire , shakur and his co-star tim roth take sketchy characters and make them exciting to watch through the pure energy of their talent and chemistry . shakur and roth play ezekiel "" spoon "" whitmore and alexander "" stretch "" rome , two detroit buddies who share a spoken word/jazz trio , an apartment and a drug addiction with cookie ( thandie newton ) . when a new year's eve party ends with cookie comatose after a drug overdose , spoon and stretch begin to wonder if they are living on borrowed time . they soon make a new year's resolution to get into rehab , but that proves to be easier said than done . as though the temptation to fix were not hindrance enough , spoon and stretch also find their attempts to get clean hitting a road block of bureaucracy , confusion and red tape . the government might be the least of their obstacles , however , as they find themselves suspects in the murder of a drug dealer , and on the run from a nasty thug ( vondie curtis hall ) . in order for you to buy into gridlock'd at all , you have to accept it as a surreal odyssey rather than as urban realism ; unless spoon and stretch sleep through an entire day at the hospital after bringing in cookie , they are going to government offices on new year's day , in which case they should be thankful they get any help at all . gridlock'd may actually be a response to the fatuous social commentary of another urban odyssey , 1991's falling down , which found a besieged middle class white male venting his righteous anger against the system during a trek through inner city los angeles . in falling down , michael douglas' d-fens ( the character's personalized license plate , echoed in gridlock'd by the drug lord d-reper's plates ) whips out a gun because he can't get breakfast at mcdonald's ; in gridlock'd , spoon and stretch are unarmed against the demands placed on them before they can get into a rehab center . and where the unhinged d-fens became a heroic surrogate for audiences , writer/director vondie curtis hall refuses to let spoon and stretch off the hook for their own part in the situation . one bureaucrat responds to a tirade from stretch with the question , "" do you expect the world to stop . . . just because you picked _today_ to clean up ? "" the world in gridlock'd is just as frustrating as the world in falling down , but the cathartic moments yield no easy answers this time . hall has some interesting things to say about what we expect from the system , but perhaps not enough of them . a significant chunk of gridlock'd is devoted to spoon and stretch's flight from d-reper and from the police , and those sub-plots serve up some thoroughly predictable moments . in one scene , stretch scares off d-reper by getting chummy with a police officer ; another presents that old chestnut of the two mistakenly-suspected heroes in a public place watching a television news report of the crime which shows their pictures . the entire sequence of events seems designed merely as an excuse to get spoon and stretch running , while the other primary plot has them standing in line or sitting down much of the time . hall also plays with gratuitous inserts of drug paraphernalia and flashbacks to the day before the film's main events , perhaps making a particular effort to point out the talent the characters are wasting through self-destructive behavior . oh , the irony of it . tupac shakur made a career in music and movies playing the hard case , and living the life to back it up . in gridlock'd , shakur gets the chance to play someone who has seen enough of the way his life could go to know that it scares him . spoon is an idea for a character at best as written by hall , but shakur displays an intelligence and survival instinct which struggle with his addiction . mostly it comes through those eyes , eyes with none of the hardness you might expect from the infamous gangsta . it is spoon who plays conscience to stretch's pure appetite , and roth plays stretch with a gleeful self-destructiveness ( he reveals that he is hiv positive even as he is preparing to shoot up again ) which is as much an obstacle to spoon's goal as any agency or enemy . gridlock'd's most cruelly comic scene finds stretch "" helping "" spoon get into an emergency room by repeatedly stabbing him with a tiny pocket knife , and it becomes an appropriate symbol for how the company he keeps has slowly drained the life out of him . with friends like that , spoon doesn't need enemies , and shakur looks at stretch with the tired eyes of a man who has seen too much . the tragedy now is that we won't get more chances to see those eyes again . "
negative,"this is the last carry on film with its almost intact regular cast and it is the swansong of hattie jacques and sid james . dick turpin ( sid james ) and his gang which includes harriett/harry ( barbara windsor ) and tom "" doc "" scholl ( peter butterworth ) , terrorise the countryside by staging highway robberies : "" stand and deliver ! "" owing to the increased occurrence of turpin's robberies , captain desmond fancey of the bow street runners ( kenneth williams ) and his sidekick sergeant jock strapp ( jack douglas ) visit turpin's area of influence to bring him to justice . they are under the express orders of sir roger daley ( bernard bresslaw ) . their intellect does not count for much and when they increasingly become suspicious of reverend flasher aka dick turpin ( sid james ) , whom they confided in earlier , they still cannot believe that the rector has any part in these robberies . however , once they catch harriett and put her in jail , and sir roger daley takes complete charge , it seems that there is no hope for dick turpin . then again , sir roger has assigned the dimwits fancey and jock strapp aswell as the old dithering constable ( kenneth connor ) to keep an eye on their prisoner ! there is no doubt that this is a 'sid james' carry on movie . he excels in double roles ( as in 'carry on- don't lose your head' ) and his performance as flasher and turpin is hilarious . barbara windsor is also funny as harriett the sex mad housemaid and member of the gang , and hattie jacques' small but effective role as the rector's housekeeper martha hoggett is played to perfection . jack douglas plays a milder version of his excruciatingly annoying on-screen persona and kenneth williams is given a rather mundane part . peter butterworth is not allowed to shine in his boring performance as tom , and bernard bresslaw's character appears only briefly in the film . the only notable performance from the support cast comes from joan sims as madame desiree , who is travelling around the country escorting her starlets the 'birds of paradise' and sporting a fake french accent . when her girls and her are robbed by turpin , she is determined to catch him and helps the reverend to find the culprit ! a carry on by the numbers , this movie is only notable for the great performance by sid james in his last carry on movie . the jokes are bluer , the script is poorer ( it is the last script written by talbot rothwell ) , but the music is a marked improvement . although nearly all the regulars appear , they seem to be just going through the motions . none of the high spirits of the earlier films are apparent here . just a selection of crude jokes and repititive double-entendres . "
positive,"the 1990s produced two brilliant science fiction films . one was _gattaca_ . the other was _the thirteenth floor_ . just as _gattaca_ was overshadowed by the mighty _titanic_ , _the thirteenth floor_ was relegated to obscurity by _the matrix_ . however , _the thirteeth floor_ , though it deals with similar themes , is a much better movie than the frenetic , childish and improbable _matrix_ . a cutting edge computer scientist , hannon fuller ( played by the charming armin mueller-stahl ) , is murdered . his associate , douglas hall , ( craig bierko ) apparently framed and suspected by the police , enters into the simulated world they have created in order to unravel the mystery . along the way a beautiful blonde ( gretchen mol ) , more bodies , and a deepening mystery about simulated worlds complicate the picture . _the thirteenth floor_ unfolds slowly and telegraphs its punches , choosing to elicit the more complex emotional response of empathy and anticipation rather than the cheap one of mere surprise . the result is a movie that is a failure from two conventional points of view . first , its plot revelations can be foreseen if one has carefully followed its complex storyline . second and more seriously , it demands that its audience think and feel . no wonder it fell through the cracks . done in film noir style as a murder mystery , this is a relatively deep movie that functions on several levels . many audiences will simply be bewildered by it , rather than engaged , which is a shame , because this movie amply repays a little emotional and intellectual investment . i recommend a second viewing simply to get the flavor of the frequent ironic foreshadowing in the opening parts of the movie . despite its philosophical challenges , _the thirteenth floor_ derives its emotional force from the love story between jane fuller ( mol ) and douglas hall ( bierko ) , as well as the close friendship between douglas hall and hannon fuller . in that sense it is more akin to _gattaca_ than _the matrix_ , which , for all of its cute philosophical byplay , is an adolescent movie with no emotional depth whatsoever . the moment when jane fuller confesses her love for douglas hall is at once satisfying , wrenching and intellectually challenging . in its final moments the film even takes on itself , when david , jane's husband , who has come to enjoy killing , accuses her of being the sick one . although there is a victory for the leading characters , this resolution suggests a disturbing element of fantasy in jane , and thus a deep-seated character flaw . in fact , hannon fuller's activities in the simulated world , the behavior of jane's husband , and the effects of entering the simulation on douglas hall all hint at similar issues with those characters . this is not a film of good people beset from without by great evil . the tragedy is not in their stars , but in themselves . the major actors , all of whom are required to play two or even three roles , perform extremely well . bierko , who will be familiar as the psycho from _the long kiss goodnight_ , is outstanding . d'onofrio as whitney , who plays a pivotal role in support , also turns in a good performance . the lovely gretchen mol , whose elegance , integrity , and determination suggest bergman in _casablanca_ , does a wonderful job . her voice , however , lacks the necessary weight at times . this could be because she was given the worst lines in a movie whose major weakness is the script . some minor flaws , hairline cracks in fine porcelain , appear in places . there are one or two instances of jerky editing . the script takes the edge off the film's climaxes . the atmosphere becomes too claustrophobic at times ( yet , there is a clue there too ) . one wonders if even after two decades , _blade runner_ is still casting its long shadow over sci-fi films . one can see a group of suits in their suite , waving their hands imperiously at directors like the emperor in _amadeus_ : "" make it more like_blade runner_ , you know , dark and rainy . "" _the thirteen floor_ is that rare exception among hollywood movies : a , rich , emotionally satisfying , intelligent sci-fi movie . and yet , ultimately , it proves the suits right . for when good sci-fi is made , where is the sf community turning out in droves to see it ? if we don't support great sf , who will ? "
positive,"people who enjoy science fiction are often faced with unpleasant surprises due to the improper labelling of novels , stories , comic books or movies . often science fiction aficionados find material , previously labelled as science fiction , to be pure fantasy or supernatural horror , or rather simple techno-thriller . in such cases , mistakes are understandable - genre boundaries are never clearly marked . but , i believe there are really few cases when a movie labelled as science fiction actually happens to be straight historical epic . such thing occurred in former yugoslavia some fifteen years ago , when national distributors gave such treatment to the right stuff , 1983 film directed by philip kaufman . the mistake of the distributors could be explained with the fact that the official poster of the film features men in space suits . but the right stuff film isn't even fiction . it was based on the non-fiction book by tom wolfe , covering the early years of american space program . the plot of the film begins in 1947 when few people heard of edwards air force base , major test site for experimental planes . the major aim of test flights is to determine ability of manned aircraft to reach 1 mach speed and thus break the sound barrier . many pilots tried to achieve that goal and many paid with their lives for such bravado . but one quiet pilot , chuck eager ( played by sam shaped ) succeeds and thus gives example for whole new generation of test pilots , determined to enter history books by breaking new speed records . ten years later , soviets have launched "" sputnik "" marking the beginning of the space age . in order to regain national prestige , us government decides to be the first to send man into space . best air force , navy and marine pilots are recruited into program , but not yeager , because he lacks college education and desired all-american image . in one of critics' polls the right stuff was named as one among top 10 films made in 1980s . such high position could be explained with the fact that kaufman's film looks quite atypical for its time . with more than three hours of length and epic scope it looked more suitable for 1950s and 1960s - age when hollywood used to make films larger than life . but the real reason lies in the fact that it was made by truly remarkable and talented filmmaker . philip kaufman created reputation in 1970s by using all the opportunities of that golden age in order to create original , memorable movies . the right stuff was the last of them , swan song of an era when producers allowed directors to spend big bucks on unusual , risk-taking "" artsy "" projects . the right stuff is unusual because it lacks many standard elements of hollywood film . the plot is almost non-existent and not very coherent ; the story , featuring many interesting incidents and anecdotes , shifts focus from the old generation of test pilots , embodied in yeager , to new generation of the astronauts . the film also lacks conventional protagonist - yeager ( who also appears in small cameo ) remains the true hero of the film , but equal time and exposure is also given to other astronauts and their wives , making this movie into ensemble piece . that gave opportunity for kaufman to use multitude of great acting talents , until that specialised only for bit or character roles . sam shepard is great as yeager , war hero whose greatest achievement - breech of the sound barrier - remained obscured in history books , probably due to his own modesty . on the surface , he lacks personality compared with his hyped and more fortunate astronaut colleagues , but shepard gives texture to this character with subtle gestures and phrases . shepard's performance is followed with great acting by ed harris as clean-cut marine ( and future politician ) john glenn . young dennis quaid is more than fine as arrogant fighter jock gordo cooper , and this arrogance is mirrored in his friend and most tragic figure of virgil grissom , superbly played by fred ward . always reliable character actor scott glenn provides some comic relief as navy aviator and ( arguably ) first american man in space alan shepard . kaufman left room for female talents to excel too - barbara hershey , pamela reed , veronica cartwright and mary jo deschanel are great as pilots' wives . royal dano is also impressive as menacing figure of preacher , but the most memorable performances belong to donald moffat as vice-president lyndon b . johnson and jane dornacker as nurse murch . great acting talent assembled for this film was mirrored with kaufman's superb direction . most notable of all is the methods kaufman uses in order to suggest the passage of time . the beginning of the film shows test pilots living in the middle of desert , as virtual unknowns , far away from strict rules and discipline . everything seems natural -yeager can indulge himself in horse riding just few yards away from the fastest and most precious aircraft in the world . in that setting , it's quite normal for important technical problems to be solved with simple chainsaw and for the test pilots not to report their ribs being broken before most important flights . but the times are changing ; ww2 alliance with ussr is replaced with cold war , and "" natural "" pilots like yeager must be replaced with more disciplined , conventional pilots . their entire lives become focus of media frenzy , and their job is subjected to strict rules , meticulous plans and they must fight the bureaucrats , publicity-seeking politicians and uncaring scientists ( like former nazi rocket expert werner von braun , played by scott beach ) only to preserve their most basic human dignity . this contrast is underlined with the beautifully edited sequence - while yeager conducts his final and most spectacular test flight in absolute obscurity , "" mercury "" astronauts receive fame and fortune , although some of them even before going in the space . those contrasts and similar effects are achieved with kaufman's superb use of poetic movie language . editing is great , and photography by caleb deschanel provides many memorable scenes like the funeral in the desert or astronauts in their suits walking in slow motion ( the same image would be copied in many latter films ) . although kaufman enjoyed support of nasa and american military , which provided authentic locations and period equipment , he still had to use special effects in order to simulate space flights . those effects are excellent and they can still fool the audience accustomed to cgi and real footage of earth from outer space . another fine contribution of this film is "" oscar "" -awarded musical score by bill conti ; i still tremble from excitement every time i hear it . it is accompanied with the use of holst and debussy . some of the songs used in the background also provide authentic atmosphere of the historical period . this film is great , and its cult status is well deserved , but there are some minor flaws . some of the "" mercury "" astronauts aren't fleshed out enough ( although being played by fine actors , like lance henriksen ) . film also lacks proper closure . on the other hand , most logical conclusion of the film - landing on the moon - would require this film to be more than six hours long . also , some critics were prone to attack this film as too amerocentric and hard on russians , who were portrayed as evil monsters , just in line with most virulent cold war rhetoric of reagan's america . in some of contemporary interviews , kaufman defended that approach by claiming that he wanted to make film as authentic as possible , and in order to do that , he portrayed russians not as they were in real life , but as they were perceived by americans in early 1960s . time has passed ; now we don't see astronauts as heroes . in this age of widespread satellite communications and routine space missions , those men and women in space suits are seen as mere maintenance workers . few young boys want to be astronauts when they grow up . but this film , sentimental reminder of the times "" when future began "" , perhaps could encourage at least some of them to follow "" mercury "" astronauts' footsteps seek new frontiers in the sky . and even if they decide to stay on earth , they could still appreciate the right stuff as an extraordinary piece of cinema . "
negative,"a friend invites you to a movie . this film would evade the explosions and special effects of standard summer fare , and be grounded in reality . the plot is as follows : after a terrifying incident , a mother and her independent daughter separate from the father and move away from the city . they need fresh air to get some perspective , maybe to start over . romance begins to brew , however , as one of the locals , played by an international superstar in rugged clothing , sparks things up , ( especially at a country-western slow dance ) . it stars a rising young starlet , helms a good cast , and is directed by one of the better actor-turned-directors in hollywood . you accept . you jump at the opportunity to see , what you believe to be , _the horse whisperer_ . but , poor moviegoer , you have been conned . alas , you find yourself watching , incredulously , _hope floats_ . oh , woe . your hope has sunk . why was this movie made ? why was it released ? it is a travesty on nearly every level , and has the authority to sink the careers of nearly everyone involved . at the hands of a better script , the film could have been a gem . but it is clueless as to what it is about , and only succeeds in transferring same cluelessness to us poor viewers . _hope floats_ stars sandra bullock as birdy , who , after discovering her husband has been cheating on her with her best friend ( on national television no less ) , takes her daughter and drives back to her home , helmed by a countryish bumpkin eccentric played by gena rowlands , ( she decorates with stuffed wildlife ) . birdy's nephew , travis ( played by _leave it to beaver_'s cameron finley ) , is under her custody , and in one of the film's many failed in-jokes , is always seen wearing a different halloween costume . what is the point of this ? does it make any sense ? is it supposed to be funny ? the point of the film is to show that the family is eccentric , but i was convinced that the grandma should have been locked up for endangering the mental welfare of a child . all of this undercuts the plot , of which there is none . there are only many scenes that are supposed to register emotion . there's the scene where birdy , who used to be the prom queen , is humbled by approaching a peer she once mocked , for a job . there's the scene where birdy dances with her father , in the hospital for alzheimer's . and then there's the sentimental scenes with justin , played by harry connick jr . , who is taking a liking to her again , showing her a beautiful pad that he built from scratch . and during each of these scenes , i was sidetracked by my earlier question . what sort of eccentric grandmother go through such great pains as to provide a dog costume , a kermit costume , a cowboy costume ( with whip ) , and a full furred barney costume for her grandson to wear during dinner ? what sort of warped ramifications would this lead for the rest of his life ? outside of this , there are other sure signs of screenwriters block . when the daughter stands up to the bully at school . when birdy almost loses her job . when the family pulls in a goofy lip-synch to cheer someone up . when someone dies . when the daughter cries , ( no , wails ) in exasperation that her father is not coming back . in a movie like this , you notice the strings being pushed , and you sit there , comatose , hoping it will end . who can survive such a debacle ? i worry for bullock's career , which has been running on auto-pilot for the last few years . she has an attitude , a solid perkiness , and can drive a bus--but she can't handle the emotional scenes , much less hold a southern accent . harry connick , jr . is worse--stick with singing , or get some acting lessons , please ! gena rowlands is the best part of the film . but she's such a good actress , that it staggers the mind that she's weighed down by such lukewarm material here . it would be a severe tragedy if the recurring star of john cassavettes' great films is known for this film . two notes to forest whittaker : ( 1 ) cut the slow-motion sequences . there are twelve times where you undercut your own direction by such a failed trick . have you done so , you could have shaved off ten-minutes of this almost unbearable debacle .  ( 2 ) you've had to know something was wrong if your cinematographer's filter makes the candlelight appear like little "" x "" s . you're not a bad director , but you can't change a terrible script . there's a recurring scene where birdy , working at the neighborhood fotomat , finds the machine go wrong , and image after destroyed , warped , dark image appear . think about it . a succession of destroyed images may have been more entertaining than this movie . "
